,id,graph_class,n,k,status,best_solution,best_bound,linear_relaxation,extra_params,result_ticks,result_time
0,graphs/star/star_4.txt_0.5,star,4,0.5,101,0.0,0.0,,,0.0,0.014051198959350586
1,graphs/star/star_4.txt_1,star,4,1.0,101,0.0,0.0,,,0.0,0.015979528427124023
2,graphs/star/star_4.txt_2,star,4,2.0,101,1.0,1.0,,,1.0,0.04550004005432129
3,graphs/cubic/cubic_4.txt_0.5,cubic,4,0.5,101,0.0,0.0,,,0.0,0.01626110076904297
4,graphs/cubic/cubic_4.txt_1,cubic,4,1.0,101,0.0,0.0,,,0.0,0.015336275100708008
5,graphs/cubic/cubic_4.txt_2,cubic,4,2.0,101,0.0,0.0,,,0.0,0.01720428466796875
6,graphs/bipartite/bipartite_4.txt_0.5,bipartite,4,0.5,101,0.0,0.0,,,0.0,0.01025533676147461
7,graphs/bipartite/bipartite_4.txt_1,bipartite,4,1.0,101,0.0,0.0,,,0.0,0.016317129135131836
8,graphs/bipartite/bipartite_4.txt_2,bipartite,4,2.0,101,0.0,0.0,,,0.0,0.021207332611083984
9,graphs/BA/BA_4.txt_0.5,BA,4,0.5,101,0.0,0.0,,,0.0,0.014748334884643555
10,graphs/BA/BA_4.txt_1,BA,4,1.0,101,0.0,0.0,,,0.0,0.0165407657623291
11,graphs/BA/BA_4.txt_2,BA,4,2.0,101,1.0,1.0,,,1.0,0.020920753479003906
12,graphs/lollipop/lollipop_4.txt_0.5,lollipop,4,0.5,101,0.0,0.0,,,0.0,0.016147375106811523
13,graphs/lollipop/lollipop_4.txt_1,lollipop,4,1.0,101,0.0,0.0,,,0.0,0.018317461013793945
14,graphs/lollipop/lollipop_4.txt_2,lollipop,4,2.0,101,1.0,1.0,,,1.0,0.04616069793701172
15,graphs/star/star_8.txt_1,star,8,1.0,101,0.0,0.0,,,0.0,0.01755046844482422
16,graphs/star/star_8.txt_2,star,8,2.0,101,1.0,1.0,,,1.0,0.06023240089416504
17,graphs/star/star_8.txt_4,star,8,4.0,101,3.0,3.0,,,3.0,0.04713702201843262
18,graphs/cubic/cubic_8.txt_1,cubic,8,1.0,101,0.0,0.0,,,0.0,0.01723790168762207
19,graphs/cubic/cubic_8.txt_2,cubic,8,2.0,101,0.0,0.0,,,0.0,0.019885778427124023
20,graphs/cubic/cubic_8.txt_4,cubic,8,4.0,101,1.0,1.0,,,1.0,0.031763553619384766
21,graphs/bipartite/bipartite_8.txt_1,bipartite,8,1.0,101,0.0,0.0,,,0.0,0.014217853546142578
22,graphs/bipartite/bipartite_8.txt_2,bipartite,8,2.0,101,0.0,0.0,,,0.0,0.02321171760559082
23,graphs/bipartite/bipartite_8.txt_4,bipartite,8,4.0,101,0.0,0.0,,,0.0,0.023261308670043945
24,graphs/BA/BA_8.txt_1,BA,8,1.0,101,0.0,0.0,,,0.0,0.01974654197692871
25,graphs/BA/BA_8.txt_2,BA,8,2.0,101,0.0,0.0,,,0.0,0.05099749565124512
26,graphs/BA/BA_8.txt_4,BA,8,4.0,101,2.0,2.0,,,2.0,0.05073833465576172
27,graphs/lollipop/lollipop_8.txt_1,lollipop,8,1.0,101,0.0,0.0,,,0.0,0.022695064544677734
28,graphs/lollipop/lollipop_8.txt_2,lollipop,8,2.0,101,1.0,1.0,,,1.0,0.027991771697998047
29,graphs/lollipop/lollipop_8.txt_4,lollipop,8,4.0,101,3.0,3.0,,,3.0,0.043343544006347656
30,graphs/star/star_16.txt_2,star,16,2.0,101,1.0,1.0,,,1.0,0.03671598434448242
31,graphs/star/star_16.txt_4,star,16,4.0,101,3.0,3.0,,,3.0,0.03898787498474121
32,graphs/star/star_16.txt_8,star,16,8.0,101,7.0,7.0,,,7.0,0.04976463317871094
33,graphs/cubic/cubic_16.txt_2,cubic,16,2.0,101,0.0,0.0,,,0.0,0.020221233367919922
34,graphs/cubic/cubic_16.txt_4,cubic,16,4.0,101,1.0,1.0,,,1.0,0.04245567321777344
35,graphs/cubic/cubic_16.txt_8,cubic,16,8.0,101,4.0,4.0,,,4.0,0.06535530090332031
36,graphs/bipartite/bipartite_16.txt_2,bipartite,16,2.0,101,0.0,0.0,,,0.0,0.02267289161682129
37,graphs/bipartite/bipartite_16.txt_4,bipartite,16,4.0,101,0.0,0.0,,,0.0,0.018642187118530273
38,graphs/bipartite/bipartite_16.txt_8,bipartite,16,8.0,101,0.0,0.0,,,0.0,0.022227048873901367
39,graphs/BA/BA_16.txt_2,BA,16,2.0,101,1.0,1.0,,,1.0,0.02085709571838379
40,graphs/BA/BA_16.txt_4,BA,16,4.0,101,2.0,2.0,,,2.0,0.05609846115112305
41,graphs/BA/BA_16.txt_8,BA,16,8.0,101,5.0,5.0,,,5.0,0.04863929748535156
42,graphs/lollipop/lollipop_16.txt_2,lollipop,16,2.0,101,1.0,1.0,,,1.0,0.01943039894104004
43,graphs/lollipop/lollipop_16.txt_4,lollipop,16,4.0,101,3.0,3.0,,,3.0,0.05049538612365723
44,graphs/lollipop/lollipop_16.txt_8,lollipop,16,8.0,101,7.0,7.0,,,7.0,0.04476571083068848
45,graphs/star/star_32.txt_4,star,32,4.0,101,3.0,3.0,,,3.0,0.04307222366333008
46,graphs/star/star_32.txt_8,star,32,8.0,101,7.0,7.0,,,7.0,0.03240394592285156
47,graphs/star/star_32.txt_16,star,32,16.0,101,15.0,15.0,,,15.0,0.028767108917236328
48,graphs/cubic/cubic_32.txt_4,cubic,32,4.0,101,1.0,1.0,,,1.0,0.11414766311645508
