,id,graph_class,n,k,status,best_solution,best_bound,linear_relaxation,extra_params,result_ticks,result_time
0,graphs/BA/BA_4.txt_0,BA,4,0,101,0.0,0.0,,,0.0,0.020493745803833008
1,graphs/BA/BA_4.txt_1,BA,4,1,101,0.0,0.0,,,0.0,0.02070021629333496
2,graphs/BA/BA_4.txt_2,BA,4,2,101,1.0,1.0,,,1.0,0.02527141571044922
3,graphs/BA/BA_4.txt_3,BA,4,3,101,2.0,2.0,,,2.0,0.029225587844848633
4,graphs/BA/BA_8.txt_0,BA,8,0,101,0.0,0.0,,,0.0,0.01372528076171875
5,graphs/BA/BA_8.txt_1,BA,8,1,101,0.0,0.0,,,0.0,0.022754192352294922
6,graphs/BA/BA_8.txt_2,BA,8,2,101,0.0,0.0,,,0.0,0.026450395584106445
7,graphs/BA/BA_8.txt_3,BA,8,3,101,1.0,1.0,,,1.0,0.05443310737609863
8,graphs/BA/BA_8.txt_4,BA,8,4,101,2.0,2.0,,,2.0,0.09295964241027832
9,graphs/BA/BA_8.txt_5,BA,8,5,101,2.0,2.0,,,2.0,0.048296451568603516
10,graphs/BA/BA_8.txt_6,BA,8,6,101,4.0,4.0,,,4.0,0.05548286437988281
11,graphs/BA/BA_8.txt_7,BA,8,7,101,5.0,5.0,,,5.0,0.04981040954589844
12,graphs/BA/BA_16.txt_0,BA,16,0,101,0.0,0.0,,,0.0,0.018532991409301758
13,graphs/BA/BA_16.txt_1,BA,16,1,101,0.0,0.0,,,0.0,0.021277666091918945
14,graphs/BA/BA_16.txt_2,BA,16,2,101,1.0,1.0,,,1.0,0.026224374771118164
15,graphs/BA/BA_16.txt_3,BA,16,3,101,1.0,1.0,,,1.0,0.04497528076171875
16,graphs/BA/BA_16.txt_4,BA,16,4,101,2.0,2.0,,,2.0,0.05814647674560547
17,graphs/BA/BA_16.txt_5,BA,16,5,101,3.0,3.0,,,3.0,0.05071616172790527
18,graphs/BA/BA_16.txt_6,BA,16,6,101,3.0,3.0,,,3.0,0.07153630256652832
19,graphs/BA/BA_16.txt_7,BA,16,7,101,4.0,4.0,,,4.0,0.10323214530944824
20,graphs/BA/BA_16.txt_8,BA,16,8,101,5.0,5.0,,,5.0,0.11047959327697754
21,graphs/BA/BA_16.txt_9,BA,16,9,101,5.0,5.0,,,5.0,0.1734938621520996
22,graphs/BA/BA_16.txt_10,BA,16,10,101,6.0,6.0,,,6.0,0.09985804557800293
23,graphs/BA/BA_16.txt_11,BA,16,11,101,8.0,8.0,,,8.0,0.07032370567321777
24,graphs/BA/BA_16.txt_12,BA,16,12,101,9.0,9.0,,,9.0,0.08306097984313965
25,graphs/BA/BA_16.txt_13,BA,16,13,101,11.0,11.0,,,11.0,0.05302739143371582
26,graphs/BA/BA_16.txt_14,BA,16,14,101,12.0,12.0,,,12.0,0.061522483825683594
27,graphs/BA/BA_16.txt_15,BA,16,15,101,14.0,14.0,,,14.0,0.04784893989562988
28,graphs/BA/BA_32.txt_0,BA,32,0,101,0.0,0.0,,,0.0,0.021215438842773438
29,graphs/BA/BA_32.txt_1,BA,32,1,101,0.0,0.0,,,0.0,0.021938323974609375
30,graphs/BA/BA_32.txt_2,BA,32,2,101,0.0,0.0,,,0.0,0.028750896453857422
31,graphs/BA/BA_32.txt_3,BA,32,3,101,1.0,1.0,,,1.0,0.07399201393127441
32,graphs/BA/BA_32.txt_4,BA,32,4,101,2.0,2.0,,,2.0,0.08338332176208496
33,graphs/BA/BA_32.txt_5,BA,32,5,101,3.0000000000000018,3.0000000000000018,,,3.0000000000000018,0.16542553901672363
34,graphs/BA/BA_32.txt_6,BA,32,6,101,3.0,3.0,,,3.0,0.06146812438964844
35,graphs/BA/BA_32.txt_7,BA,32,7,101,4.0,4.0,,,4.0,0.10674881935119629
36,graphs/BA/BA_32.txt_8,BA,32,8,101,5.0,5.0,,,5.0,0.06634402275085449
37,graphs/BA/BA_32.txt_9,BA,32,9,101,6.0,6.0,,,6.0,0.07406497001647949
38,graphs/BA/BA_32.txt_10,BA,32,10,101,7.0,7.0,,,7.0,0.1270134449005127
39,graphs/BA/BA_32.txt_11,BA,32,11,101,8.0,8.0,,,8.0,0.0686349868774414
40,graphs/BA/BA_32.txt_12,BA,32,12,101,9.0,9.0,,,9.0,0.11660051345825195
41,graphs/BA/BA_32.txt_13,BA,32,13,101,10.0,10.0,,,10.0,0.1905989646911621
42,graphs/BA/BA_32.txt_14,BA,32,14,101,11.0,11.0,,,11.0,0.07966732978820801
43,graphs/BA/BA_32.txt_15,BA,32,15,101,12.0,12.0,,,12.0,0.08898806571960449
44,graphs/BA/BA_32.txt_16,BA,32,16,101,13.000000000000002,13.000000000000002,,,13.000000000000002,0.08660721778869629
45,graphs/BA/BA_32.txt_17,BA,32,17,101,13.0,13.0,,,13.0,0.14650344848632812
46,graphs/BA/BA_32.txt_18,BA,32,18,101,14.0,14.0,,,14.0,0.1260063648223877
47,graphs/BA/BA_32.txt_19,BA,32,19,101,16.0,16.0,,,16.0,0.19505882263183594
48,graphs/BA/BA_32.txt_20,BA,32,20,101,17.0,17.0,,,17.0,0.09737730026245117
49,graphs/BA/BA_32.txt_21,BA,32,21,101,18.0,18.0,,,18.0,0.23039793968200684
50,graphs/BA/BA_32.txt_22,BA,32,22,101,19.0,19.0,,,19.0,0.17944598197937012
51,graphs/BA/BA_32.txt_23,BA,32,23,101,20.0,20.0,,,20.0,0.18425917625427246
52,graphs/BA/BA_32.txt_24,BA,32,24,101,21.0,21.0,,,21.0,0.10510706901550293
53,graphs/BA/BA_32.txt_25,BA,32,25,101,22.0,22.0,,,22.0,0.15253210067749023
54,graphs/BA/BA_32.txt_26,BA,32,26,101,23.0,23.0,,,23.0,0.09908342361450195
55,graphs/BA/BA_32.txt_27,BA,32,27,101,24.0,24.0,,,24.0,0.1560194492340088
56,graphs/BA/BA_32.txt_28,BA,32,28,101,25.0,25.0,,,25.0,0.05536365509033203
57,graphs/BA/BA_32.txt_29,BA,32,29,101,27.0,27.0,,,27.0,0.11029601097106934
58,graphs/BA/BA_32.txt_30,BA,32,30,101,28.0,28.0,,,28.0,0.07432293891906738
59,graphs/BA/BA_32.txt_31,BA,32,31,101,29.0,29.0,,,29.0,0.057193756103515625
60,graphs/BA/BA_64.txt_0,BA,64,0,101,0.0,0.0,,,0.0,0.022614479064941406
61,graphs/BA/BA_64.txt_3,BA,64,3,101,1.0,1.0,,,1.0,0.07282614707946777
62,graphs/BA/BA_64.txt_6,BA,64,6,101,3.0,3.0,,,3.0,0.11616325378417969
63,graphs/BA/BA_64.txt_9,BA,64,9,101,6.0,6.0,,,6.0,0.29299211502075195
64,graphs/BA/BA_64.txt_12,BA,64,12,101,8.0,8.0,,,8.0,0.16483211517333984
65,graphs/BA/BA_64.txt_15,BA,64,15,101,10.0,10.0,,,10.0,0.2331991195678711
66,graphs/BA/BA_64.txt_18,BA,64,18,101,13.0,13.0,,,13.0,0.2089834213256836
