,id,graph_class,n,k,status,best_solution,best_bound,linear_relaxation,extra_params,result_ticks,result_time
0,inputs/bipartite/bipartite_2.txt_0,bipartite,2,0,101,0.0,0.0,,,0.0,0.01360630989074707
1,inputs/bipartite/bipartite_2.txt_1,bipartite,2,1,101,0.0,0.0,,,0.0,0.013842105865478516
2,inputs/bipartite/bipartite_17.txt_0,bipartite,17,0,101,0.0,0.0,,,0.0,0.012949943542480469
3,inputs/bipartite/bipartite_17.txt_1,bipartite,17,1,101,0.0,0.0,,,0.0,0.015251398086547852
4,inputs/bipartite/bipartite_17.txt_2,bipartite,17,2,101,0.0,0.0,,,0.0,0.021779298782348633
5,inputs/bipartite/bipartite_17.txt_3,bipartite,17,3,101,0.0,0.0,,,0.0,0.029983997344970703
6,inputs/bipartite/bipartite_17.txt_4,bipartite,17,4,101,0.0,0.0,,,0.0,0.03546905517578125
7,inputs/bipartite/bipartite_17.txt_5,bipartite,17,5,101,0.0,0.0,,,0.0,0.07062602043151855
8,inputs/bipartite/bipartite_17.txt_6,bipartite,17,6,101,0.0,0.0,,,0.0,0.022460460662841797
9,inputs/bipartite/bipartite_17.txt_7,bipartite,17,7,101,0.0,0.0,,,0.0,0.028689861297607422
10,inputs/bipartite/bipartite_17.txt_8,bipartite,17,8,101,0.0,0.0,,,0.0,0.028659820556640625
11,inputs/bipartite/bipartite_17.txt_9,bipartite,17,9,101,1.0,1.0,,,1.0,0.04716014862060547
12,inputs/bipartite/bipartite_17.txt_10,bipartite,17,10,101,2.0,2.0,,,2.0,0.04198336601257324
13,inputs/bipartite/bipartite_17.txt_11,bipartite,17,11,101,3.0,3.0,,,3.0,0.06318092346191406
14,inputs/bipartite/bipartite_17.txt_12,bipartite,17,12,101,4.0,4.0,,,4.0,0.06471133232116699
15,inputs/bipartite/bipartite_17.txt_13,bipartite,17,13,101,5.0,5.0,,,5.0,0.09790515899658203
16,inputs/bipartite/bipartite_17.txt_14,bipartite,17,14,101,6.0,6.0,,,6.0,0.10584664344787598
17,inputs/bipartite/bipartite_17.txt_15,bipartite,17,15,101,7.0,7.0,,,7.0,0.03444623947143555
18,inputs/bipartite/bipartite_17.txt_16,bipartite,17,16,101,8.0,8.0,,,8.0,0.03904533386230469
19,inputs/bipartite/bipartite_32.txt_0,bipartite,32,0,101,0.0,0.0,,,0.0,0.03291511535644531
20,inputs/bipartite/bipartite_32.txt_1,bipartite,32,1,101,0.0,0.0,,,0.0,0.01775527000427246
21,inputs/bipartite/bipartite_32.txt_2,bipartite,32,2,101,0.0,0.0,,,0.0,0.02750253677368164
22,inputs/bipartite/bipartite_32.txt_3,bipartite,32,3,101,0.0,0.0,,,0.0,0.026690006256103516
23,inputs/bipartite/bipartite_32.txt_4,bipartite,32,4,101,0.0,0.0,,,0.0,0.02638530731201172
24,inputs/bipartite/bipartite_32.txt_5,bipartite,32,5,101,0.0,0.0,,,0.0,0.027960777282714844
25,inputs/bipartite/bipartite_32.txt_6,bipartite,32,6,101,0.0,0.0,,,0.0,0.025557756423950195
26,inputs/bipartite/bipartite_32.txt_7,bipartite,32,7,101,0.0,0.0,,,0.0,0.024995803833007812
27,inputs/bipartite/bipartite_32.txt_8,bipartite,32,8,101,0.0,0.0,,,0.0,0.029144763946533203
28,inputs/bipartite/bipartite_32.txt_9,bipartite,32,9,101,0.0,0.0,,,0.0,0.026110410690307617
29,inputs/bipartite/bipartite_32.txt_10,bipartite,32,10,101,0.0,0.0,,,0.0,0.027643442153930664
30,inputs/bipartite/bipartite_32.txt_11,bipartite,32,11,101,0.0,0.0,,,0.0,0.025801658630371094
31,inputs/bipartite/bipartite_32.txt_12,bipartite,32,12,101,0.0,0.0,,,0.0,0.025635480880737305
32,inputs/bipartite/bipartite_32.txt_13,bipartite,32,13,101,0.0,0.0,,,0.0,0.028871536254882812
33,inputs/bipartite/bipartite_32.txt_14,bipartite,32,14,101,0.0,0.0,,,0.0,0.027257919311523438
34,inputs/bipartite/bipartite_32.txt_15,bipartite,32,15,101,0.0,0.0,,,0.0,0.026605844497680664
35,inputs/bipartite/bipartite_32.txt_16,bipartite,32,16,101,0.0,0.0,,,0.0,0.02770829200744629
36,inputs/bipartite/bipartite_32.txt_17,bipartite,32,17,101,1.0,1.0,,,1.0,0.42580270767211914
37,inputs/bipartite/bipartite_32.txt_18,bipartite,32,18,101,2.0,2.0,,,2.0,0.267439603805542
38,inputs/bipartite/bipartite_32.txt_19,bipartite,32,19,101,3.0,3.0,,,3.0,0.2895314693450928
39,inputs/bipartite/bipartite_32.txt_20,bipartite,32,20,101,4.0,4.0,,,4.0,0.1004786491394043
40,inputs/bipartite/bipartite_32.txt_21,bipartite,32,21,101,5.0,5.0,,,5.0,0.10178136825561523
41,inputs/bipartite/bipartite_32.txt_22,bipartite,32,22,101,6.0,6.0,,,6.0,0.27484703063964844
42,inputs/bipartite/bipartite_32.txt_23,bipartite,32,23,101,7.0,7.0,,,7.0,0.18724393844604492
43,inputs/bipartite/bipartite_32.txt_24,bipartite,32,24,101,8.0,8.0,,,8.0,0.10765600204467773
44,inputs/bipartite/bipartite_32.txt_25,bipartite,32,25,101,9.0,9.0,,,9.0,0.11968111991882324
