,id,graph_class,n,k,status,best_solution,best_bound,linear_relaxation,extra_params,result_ticks,result_time
0,inputs/More_BA/BA_213.txt_0,BA,213,0,101,0.0,0.0,,,0.0,0.01572394371032715
1,inputs/More_BA/BA_213.txt_10,BA,213,10,101,6.0,6.0,,,6.0,1.0664598941802979
2,inputs/More_BA/BA_213.txt_20,BA,213,20,101,13.0,13.0,,,13.0,1.2843036651611328
3,inputs/More_BA/BA_213.txt_30,BA,213,30,101,20.0,20.0,,,20.0,2.386032819747925
4,inputs/More_BA/BA_213.txt_40,BA,213,40,101,27.0,27.0,,,27.0,19.8179714679718
5,inputs/More_BA/BA_213.txt_50,BA,213,50,101,36.0,36.0,,,36.0,20.893796682357788
6,inputs/More_BA/BA_213.txt_60,BA,213,60,101,44.0,44.0,,,44.0,29.091211557388306
7,inputs/More_BA/BA_213.txt_70,BA,213,70,101,53.0,53.0,,,53.0,131.68434023857117
8,inputs/More_BA/BA_213.txt_80,BA,213,80,101,61.0,61.0,,,61.0,82.7697365283966
9,inputs/More_BA/BA_213.txt_90,BA,213,90,101,70.0,70.0,,,70.0,245.9179720878601
10,inputs/More_BA/BA_213.txt_100,BA,213,100,101,79.0,79.0,,,79.0,139.08717894554138
11,inputs/More_BA/BA_213.txt_110,BA,213,110,101,88.0,88.0,,,88.0,155.72025108337402
12,inputs/More_BA/BA_213.txt_120,BA,213,120,101,98.0,98.0,,,98.0,302.9220266342163
13,inputs/More_BA/BA_213.txt_130,BA,213,130,101,109.0,109.0,,,109.0,263.97045278549194
14,inputs/More_BA/BA_213.txt_140,BA,213,140,101,120.0,120.0,,,120.0,137.59381103515625
15,inputs/More_BA/BA_213.txt_150,BA,213,150,101,131.0,131.0,,,131.0,97.73598194122314
16,inputs/More_BA/BA_213.txt_160,BA,213,160,101,143.0,143.0,,,143.0,35.86560797691345
17,inputs/More_BA/BA_213.txt_170,BA,213,170,101,154.0,154.0,,,154.0,85.67860865592957
18,inputs/More_BA/BA_213.txt_180,BA,213,180,101,166.0,166.0,,,166.0,30.413866996765137
19,inputs/More_BA/BA_213.txt_190,BA,213,190,101,179.0,179.0,,,179.0,10.573036909103394
20,inputs/More_BA/BA_213.txt_200,BA,213,200,101,193.0,193.0,,,193.0,6.930769681930542
21,inputs/More_BA/BA_213.txt_210,BA,213,210,101,207.0,207.0,,,207.0,0.42317914962768555
22,inputs/More_BA/BA_223.txt_0,BA,223,0,101,0.0,0.0,,,0.0,0.009247779846191406
23,inputs/More_BA/BA_223.txt_11,BA,223,11,101,8.0,8.0,,,8.0,0.3329920768737793
24,inputs/More_BA/BA_223.txt_22,BA,223,22,101,17.0,17.0,,,17.0,0.5570995807647705
25,inputs/More_BA/BA_223.txt_33,BA,223,33,101,25.0,25.0,,,25.0,1.315093994140625
26,inputs/More_BA/BA_223.txt_44,BA,223,44,101,35.0,35.0,,,35.0,1.296966552734375
27,inputs/More_BA/BA_223.txt_55,BA,223,55,101,44.0,44.0,,,44.0,1.6897845268249512
28,inputs/More_BA/BA_223.txt_66,BA,223,66,101,54.0,54.0,,,54.0,11.577778577804565
29,inputs/More_BA/BA_223.txt_77,BA,223,77,101,64.0,64.0,,,64.0,9.768845081329346
30,inputs/More_BA/BA_223.txt_88,BA,223,88,101,73.0,73.0,,,73.0,33.619606256484985
31,inputs/More_BA/BA_223.txt_99,BA,223,99,101,83.0,83.0,,,83.0,39.32895588874817
32,inputs/More_BA/BA_223.txt_110,BA,223,110,101,93.0,93.0,,,93.0,21.28835439682007
33,inputs/More_BA/BA_223.txt_121,BA,223,121,101,104.0,104.0,,,104.0,29.72616195678711
34,inputs/More_BA/BA_223.txt_132,BA,223,132,101,116.0,116.0,,,116.0,21.038999557495117
35,inputs/More_BA/BA_223.txt_143,BA,223,143,101,128.0,128.0,,,128.0,16.199912548065186
36,inputs/More_BA/BA_223.txt_154,BA,223,154,101,140.0,140.0,,,140.0,29.930402040481567
37,inputs/More_BA/BA_223.txt_165,BA,223,165,101,153.0,153.0,,,153.0,18.337673902511597
38,inputs/More_BA/BA_223.txt_176,BA,223,176,101,165.0,165.0,,,165.0,11.791739225387573
