,id,graph_class,n,k,status,best_solution,best_bound,linear_relaxation,extra_params,result_ticks,result_time
0,inputs/More_BA/BA_3.txt_0,BA,3,0,101,0.0,0.0,,,0.0,0.01703643798828125
1,inputs/More_BA/BA_3.txt_1,BA,3,1,101,0.0,0.0,,,0.0,0.013724088668823242
2,inputs/More_BA/BA_3.txt_2,BA,3,2,101,1.0,1.0,,,1.0,0.018094301223754883
3,inputs/More_BA/BA_13.txt_0,BA,13,0,101,0.0,0.0,,,0.0,0.006883382797241211
4,inputs/More_BA/BA_13.txt_1,BA,13,1,101,0.0,0.0,,,0.0,0.010183334350585938
5,inputs/More_BA/BA_13.txt_2,BA,13,2,101,0.0,0.0,,,0.0,0.022589683532714844
6,inputs/More_BA/BA_13.txt_3,BA,13,3,101,1.0,1.0,,,1.0,0.059604644775390625
7,inputs/More_BA/BA_13.txt_4,BA,13,4,101,2.0,2.0,,,2.0,0.05083513259887695
8,inputs/More_BA/BA_13.txt_5,BA,13,5,101,3.0,3.0,,,3.0,0.03563356399536133
9,inputs/More_BA/BA_13.txt_6,BA,13,6,101,4.0,4.0,,,4.0,0.028249740600585938
10,inputs/More_BA/BA_13.txt_7,BA,13,7,101,5.0,5.0,,,5.0,0.020461559295654297
11,inputs/More_BA/BA_13.txt_8,BA,13,8,101,6.0,6.0,,,6.0,0.02673935890197754
12,inputs/More_BA/BA_13.txt_9,BA,13,9,101,7.0,7.0,,,7.0,0.0253143310546875
13,inputs/More_BA/BA_13.txt_10,BA,13,10,101,8.0,8.0,,,8.0,0.029500484466552734
14,inputs/More_BA/BA_13.txt_11,BA,13,11,101,9.0,9.0,,,9.0,0.02292609214782715
15,inputs/More_BA/BA_13.txt_12,BA,13,12,101,10.0,10.0,,,10.0,0.02208089828491211
16,inputs/More_BA/BA_23.txt_0,BA,23,0,101,0.0,0.0,,,0.0,0.03519892692565918
17,inputs/More_BA/BA_23.txt_1,BA,23,1,101,0.0,0.0,,,0.0,0.024912118911743164
18,inputs/More_BA/BA_23.txt_2,BA,23,2,101,0.0,0.0,,,0.0,0.021337032318115234
19,inputs/More_BA/BA_23.txt_3,BA,23,3,101,1.0,1.0,,,1.0,0.04982805252075195
20,inputs/More_BA/BA_23.txt_4,BA,23,4,101,1.0,1.0,,,1.0,0.0474247932434082
21,inputs/More_BA/BA_23.txt_5,BA,23,5,101,2.0,2.0,,,2.0,0.06881070137023926
22,inputs/More_BA/BA_23.txt_6,BA,23,6,101,3.0,3.0,,,3.0,0.042519330978393555
23,inputs/More_BA/BA_23.txt_7,BA,23,7,101,3.0,3.0,,,3.0,0.041594743728637695
24,inputs/More_BA/BA_23.txt_8,BA,23,8,101,4.0,4.0,,,4.0,0.0892183780670166
25,inputs/More_BA/BA_23.txt_9,BA,23,9,101,5.0,5.0,,,5.0,0.0453341007232666
26,inputs/More_BA/BA_23.txt_10,BA,23,10,101,6.0,6.0,,,6.0,0.10627126693725586
27,inputs/More_BA/BA_23.txt_11,BA,23,11,101,7.0,7.0,,,7.0,0.11648058891296387
28,inputs/More_BA/BA_23.txt_12,BA,23,12,101,8.0,8.0,,,8.0,0.040647268295288086
29,inputs/More_BA/BA_23.txt_13,BA,23,13,101,8.0,8.0,,,8.0,0.042494773864746094
30,inputs/More_BA/BA_23.txt_14,BA,23,14,101,9.0,9.0,,,9.0,0.17890095710754395
31,inputs/More_BA/BA_23.txt_15,BA,23,15,101,11.0,11.0,,,11.0,0.11146330833435059
32,inputs/More_BA/BA_23.txt_16,BA,23,16,101,12.0,12.0,,,12.0,0.1026005744934082
33,inputs/More_BA/BA_23.txt_17,BA,23,17,101,13.0,13.0,,,13.0,0.06615519523620605
34,inputs/More_BA/BA_23.txt_18,BA,23,18,101,14.0,14.0,,,14.0,0.09315347671508789
35,inputs/More_BA/BA_23.txt_19,BA,23,19,101,15.0,15.0,,,15.0,0.10065865516662598
36,inputs/More_BA/BA_23.txt_20,BA,23,20,101,17.0,17.0,,,17.0,0.07047700881958008
37,inputs/More_BA/BA_23.txt_21,BA,23,21,101,18.0,18.0,,,18.0,0.04415106773376465
38,inputs/More_BA/BA_23.txt_22,BA,23,22,101,20.0,20.0,,,20.0,0.02096700668334961
39,inputs/More_BA/BA_33.txt_0,BA,33,0,101,0.0,0.0,,,0.0,0.008519649505615234
