,id,graph_class,n,k,status,best_solution,best_bound,linear_relaxation,extra_params,result_ticks,result_time
0,graphs/BA/BA_4.txt_0,BA,4,0,101,0.0,0.0,,,0.0,0.011564016342163086
1,graphs/BA/BA_4.txt_1,BA,4,1,101,0.0,0.0,,,0.0,0.01753401756286621
2,graphs/BA/BA_4.txt_2,BA,4,2,101,1.0,1.0,,,1.0,0.02567124366760254
3,graphs/BA/BA_4.txt_3,BA,4,3,101,2.0,2.0,,,2.0,0.03289175033569336
4,graphs/BA/BA_8.txt_0,BA,8,0,101,0.0,0.0,,,0.0,0.019983768463134766
5,graphs/BA/BA_8.txt_1,BA,8,1,101,0.0,0.0,,,0.0,0.02939009666442871
6,graphs/BA/BA_8.txt_2,BA,8,2,101,0.0,0.0,,,0.0,0.03285026550292969
7,graphs/BA/BA_8.txt_3,BA,8,3,101,1.0,1.0,,,1.0,0.04955911636352539
8,graphs/BA/BA_8.txt_4,BA,8,4,101,2.0,2.0,,,2.0,0.056195735931396484
9,graphs/BA/BA_8.txt_5,BA,8,5,101,2.0,2.0,,,2.0,0.04122328758239746
10,graphs/BA/BA_8.txt_6,BA,8,6,101,4.0,4.0,,,4.0,0.04737520217895508
11,graphs/BA/BA_8.txt_7,BA,8,7,101,5.0,5.0,,,5.0,0.03666043281555176
12,graphs/BA/BA_16.txt_0,BA,16,0,101,0.0,0.0,,,0.0,0.016683101654052734
13,graphs/BA/BA_16.txt_1,BA,16,1,101,0.0,0.0,,,0.0,0.027262449264526367
14,graphs/BA/BA_16.txt_2,BA,16,2,101,1.0,1.0,,,1.0,0.027579784393310547
15,graphs/BA/BA_16.txt_3,BA,16,3,101,1.0,1.0,,,1.0,0.039726972579956055
16,graphs/BA/BA_16.txt_4,BA,16,4,101,2.0,2.0,,,2.0,0.06770944595336914
17,graphs/BA/BA_16.txt_5,BA,16,5,101,3.0,3.0,,,3.0,0.10269975662231445
18,graphs/BA/BA_16.txt_6,BA,16,6,101,3.0,3.0,,,3.0,0.06777501106262207
19,graphs/BA/BA_16.txt_7,BA,16,7,101,4.0,4.0,,,4.0,0.0869591236114502
20,graphs/BA/BA_16.txt_8,BA,16,8,101,5.0,5.0,,,5.0,0.07516217231750488
21,graphs/BA/BA_16.txt_9,BA,16,9,101,5.0,5.0,,,5.0,0.13050627708435059
22,graphs/BA/BA_16.txt_10,BA,16,10,101,6.0,6.0,,,6.0,0.0820460319519043
23,graphs/BA/BA_16.txt_11,BA,16,11,101,8.0,8.0,,,8.0,0.06797242164611816
24,graphs/BA/BA_16.txt_12,BA,16,12,101,9.0,9.0,,,9.0,0.06911087036132812
25,graphs/BA/BA_16.txt_13,BA,16,13,101,11.0,11.0,,,11.0,0.04884624481201172
26,graphs/BA/BA_16.txt_14,BA,16,14,101,12.0,12.0,,,12.0,0.05818295478820801
27,graphs/BA/BA_16.txt_15,BA,16,15,101,14.0,14.0,,,14.0,0.050492286682128906
28,graphs/BA/BA_32.txt_0,BA,32,0,101,0.0,0.0,,,0.0,0.01812458038330078
29,graphs/BA/BA_32.txt_1,BA,32,1,101,0.0,0.0,,,0.0,0.018352031707763672
30,graphs/BA/BA_32.txt_2,BA,32,2,101,0.0,0.0,,,0.0,0.025034189224243164
31,graphs/BA/BA_32.txt_3,BA,32,3,101,1.0,1.0,,,1.0,0.04937458038330078
32,graphs/BA/BA_32.txt_4,BA,32,4,101,2.0,2.0,,,2.0,0.06819367408752441
33,graphs/BA/BA_32.txt_5,BA,32,5,101,3.0000000000000018,3.0000000000000018,,,3.0000000000000018,0.16424155235290527
34,graphs/BA/BA_32.txt_6,BA,32,6,101,3.0,3.0,,,3.0,0.07050013542175293
35,graphs/BA/BA_32.txt_7,BA,32,7,101,4.0,4.0,,,4.0,0.12728571891784668
36,graphs/BA/BA_32.txt_8,BA,32,8,101,5.0,5.0,,,5.0,0.10573840141296387
37,graphs/BA/BA_32.txt_9,BA,32,9,101,6.0,6.0,,,6.0,0.1046760082244873
38,graphs/BA/BA_32.txt_10,BA,32,10,101,7.0,7.0,,,7.0,0.16394305229187012
39,graphs/BA/BA_32.txt_11,BA,32,11,101,8.0,8.0,,,8.0,0.07796764373779297
40,graphs/BA/BA_32.txt_12,BA,32,12,101,9.0,9.0,,,9.0,0.10894632339477539
41,graphs/BA/BA_32.txt_13,BA,32,13,101,10.0,10.0,,,10.0,0.1510906219482422
42,graphs/BA/BA_32.txt_14,BA,32,14,101,11.0,11.0,,,11.0,0.06027388572692871
43,graphs/BA/BA_32.txt_15,BA,32,15,101,12.0,12.0,,,12.0,0.07693028450012207
44,graphs/BA/BA_32.txt_16,BA,32,16,101,13.000000000000002,13.000000000000002,,,13.000000000000002,0.07028079032897949
45,graphs/BA/BA_32.txt_17,BA,32,17,101,13.0,13.0,,,13.0,0.1387784481048584
46,graphs/BA/BA_32.txt_18,BA,32,18,101,14.0,14.0,,,14.0,0.12226200103759766
47,graphs/BA/BA_32.txt_19,BA,32,19,101,16.0,16.0,,,16.0,0.1812429428100586
48,graphs/BA/BA_32.txt_20,BA,32,20,101,17.0,17.0,,,17.0,0.08257436752319336
49,graphs/BA/BA_32.txt_21,BA,32,21,101,18.0,18.0,,,18.0,0.19570636749267578
50,graphs/BA/BA_32.txt_22,BA,32,22,101,19.0,19.0,,,19.0,0.1549072265625
51,graphs/BA/BA_32.txt_23,BA,32,23,101,20.0,20.0,,,20.0,0.2994575500488281
52,graphs/BA/BA_32.txt_24,BA,32,24,101,21.0,21.0,,,21.0,0.1589949131011963
53,graphs/BA/BA_32.txt_25,BA,32,25,101,22.0,22.0,,,22.0,0.14778399467468262
54,graphs/BA/BA_32.txt_26,BA,32,26,101,23.0,23.0,,,23.0,0.11817693710327148
55,graphs/BA/BA_32.txt_27,BA,32,27,101,24.0,24.0,,,24.0,0.1672511100769043
56,graphs/BA/BA_32.txt_28,BA,32,28,101,25.0,25.0,,,25.0,0.08854341506958008
57,graphs/BA/BA_32.txt_29,BA,32,29,101,27.0,27.0,,,27.0,0.09462761878967285
58,graphs/BA/BA_32.txt_30,BA,32,30,101,28.0,28.0,,,28.0,0.05081748962402344
59,graphs/BA/BA_32.txt_31,BA,32,31,101,29.0,29.0,,,29.0,0.05208015441894531
60,graphs/BA/BA_64.txt_0,BA,64,0,101,0.0,0.0,,,0.0,0.020409822463989258
61,graphs/BA/BA_64.txt_3,BA,64,3,101,1.0,1.0,,,1.0,0.06162309646606445
62,graphs/BA/BA_64.txt_6,BA,64,6,101,3.0,3.0,,,3.0,0.08570361137390137
63,graphs/BA/BA_64.txt_9,BA,64,9,101,6.0,6.0,,,6.0,0.2211627960205078
64,graphs/BA/BA_64.txt_12,BA,64,12,101,8.0,8.0,,,8.0,0.11273026466369629
65,graphs/BA/BA_64.txt_15,BA,64,15,101,10.0,10.0,,,10.0,0.35311436653137207
66,graphs/BA/BA_64.txt_18,BA,64,18,101,13.0,13.0,,,13.0,0.20208954811096191
67,graphs/BA/BA_64.txt_21,BA,64,21,101,15.0,15.0,,,15.0,0.36880040168762207
68,graphs/BA/BA_64.txt_24,BA,64,24,101,18.0,18.0,,,18.0,0.21697425842285156
69,graphs/BA/BA_64.txt_27,BA,64,27,101,20.0,20.0,,,20.0,0.49173545837402344
70,graphs/BA/BA_64.txt_30,BA,64,30,101,23.0,23.0,,,23.0,0.29740452766418457
71,graphs/BA/BA_64.txt_33,BA,64,33,101,26.0,26.0,,,26.0,0.26404333114624023
72,graphs/BA/BA_64.txt_36,BA,64,36,101,29.0,29.0,,,29.0,0.16185736656188965
73,graphs/BA/BA_64.txt_39,BA,64,39,101,32.0,32.0,,,32.0,0.31528377532958984
74,graphs/BA/BA_64.txt_42,BA,64,42,101,35.0,35.0,,,35.0,0.29050111770629883
75,graphs/BA/BA_64.txt_45,BA,64,45,101,39.0,39.0,,,39.0,0.3720271587371826
76,graphs/BA/BA_64.txt_48,BA,64,48,101,42.0,42.0,,,42.0,0.25450968742370605
77,graphs/BA/BA_64.txt_51,BA,64,51,101,46.0,46.0,,,46.0,0.26183176040649414
78,graphs/BA/BA_64.txt_54,BA,64,54,101,49.0,49.0,,,49.0,0.22103500366210938
79,graphs/BA/BA_64.txt_57,BA,64,57,101,53.0,53.0,,,53.0,0.15624403953552246
80,graphs/BA/BA_64.txt_60,BA,64,60,101,57.0,57.0,,,57.0,0.08200669288635254
81,graphs/BA/BA_64.txt_63,BA,64,63,101,61.0,61.0,,,61.0,0.04184770584106445
82,graphs/BA/BA_128.txt_0,BA,128,0,101,0.0,0.0,,,0.0,0.014102458953857422
83,graphs/BA/BA_128.txt_6,BA,128,6,101,3.0,3.0,,,3.0,0.2003345489501953
84,graphs/BA/BA_128.txt_12,BA,128,12,101,8.0,8.0,,,8.0,0.31159377098083496
85,graphs/BA/BA_128.txt_18,BA,128,18,101,12.0,12.0,,,12.0,0.599830150604248
86,graphs/BA/BA_128.txt_24,BA,128,24,101,16.0,16.0,,,16.0,0.4670872688293457
87,graphs/BA/BA_128.txt_30,BA,128,30,101,21.0,21.0,,,21.0,0.7791342735290527
88,graphs/BA/BA_128.txt_36,BA,128,36,101,26.0,26.0,,,26.0,0.8696093559265137
89,graphs/BA/BA_128.txt_42,BA,128,42,101,31.0,31.0,,,31.0,0.8789427280426025
90,graphs/BA/BA_128.txt_48,BA,128,48,101,37.0,37.0,,,37.0,0.9764738082885742
91,graphs/BA/BA_128.txt_54,BA,128,54,101,42.0,42.0,,,42.0,1.1866943836212158
92,graphs/BA/BA_128.txt_60,BA,128,60,101,48.0,48.0,,,48.0,1.0543477535247803
93,graphs/BA/BA_128.txt_66,BA,128,66,101,54.0,54.0,,,54.0,2.2722949981689453
94,graphs/BA/BA_128.txt_72,BA,128,72,101,60.0,60.0,,,60.0,1.7124464511871338
95,graphs/BA/BA_128.txt_78,BA,128,78,101,66.0,66.0,,,66.0,1.7221622467041016
96,graphs/BA/BA_128.txt_84,BA,128,84,101,72.0,72.0,,,72.0,2.4152166843414307
97,graphs/BA/BA_128.txt_90,BA,128,90,101,79.0,79.0,,,79.0,1.1388936042785645
98,graphs/BA/BA_128.txt_96,BA,128,96,101,85.0,85.0,,,85.0,1.935088872909546
99,graphs/BA/BA_128.txt_102,BA,128,102,101,92.0,92.0,,,92.0,2.475606918334961
100,graphs/BA/BA_128.txt_108,BA,128,108,101,100.0,100.0,,,100.0,1.757641315460205
101,graphs/BA/BA_128.txt_114,BA,128,114,101,107.0,107.0,,,107.0,0.9288327693939209
102,graphs/BA/BA_128.txt_120,BA,128,120,101,116.0,116.0,,,116.0,0.2884700298309326
103,graphs/BA/BA_128.txt_126,BA,128,126,101,124.0,124.0,,,124.0,0.15133166313171387
104,graphs/BA/BA_256.txt_0,BA,256,0,101,0.0,0.0,,,0.0,0.00857853889465332
105,graphs/BA/BA_256.txt_12,BA,256,12,101,7.0,7.0,,,7.0,0.6133673191070557
106,graphs/BA/BA_256.txt_24,BA,256,24,101,16.0,16.0,,,16.0,1.9968600273132324
107,graphs/BA/BA_256.txt_36,BA,256,36,101,25.0,25.0,,,25.0,3.5037214756011963
108,graphs/BA/BA_256.txt_48,BA,256,48,101,35.0,35.0,,,35.0,14.122694730758667
109,graphs/BA/BA_256.txt_60,BA,256,60,101,44.0,44.0,,,44.0,38.00631237030029
110,graphs/BA/BA_256.txt_72,BA,256,72,101,54.0,54.0,,,54.0,72.18765234947205
